Date,Nombre de personnes en soins intensifs,Nombre de personnes en soin normaux
16/03/2020,0,0
17/03/2020,0,0
18/03/2020,0,0
19/03/2020,0,1
20/03/2020,3,18
21/03/2020,6,56
22/03/2020,5,63
23/03/2020,7,71
24/03/2020,9,97
25/03/2020,21,128
26/03/2020,26,120
27/03/2020,26,128
28/03/2020,29,152
29/03/2020,27,160
30/03/2020,30,156
31/03/2020,32,163
01/04/2020,33,166
02/04/2020,40,184
03/04/2020,45,183
04/04/2020,43,190
05/04/2020,43,177
06/04/2020,41,180
07/04/2020,41,179
08/04/2020,43,189
09/04/2020,39,185
10/04/2020,38,186
11/04/2020,40,172
12/04/2020,40,183
13/04/2020,42,161
14/04/2020,43,163
15/04/2020,44,144
16/04/2020,41,157
17/04/2020,39,141
18/04/2020,40,152
19/04/2020,39,148
20/04/2020,39,149
21/04/2020,38,147
22/04/2020,35,143
23/04/2020,30,133
24/04/2020,30,129
25/04/2020,28,119
26/04/2020,25,121
27/04/2020,25,112
28/04/2020,25,115
29/04/2020,27,101
30/04/2020,27,87
01/05/2020,28,98
02/05/2020,27,93
03/05/2020,26,92
04/05/2020,25,90
05/05/2020,23,98
06/05/2020,24,90
07/05/2020,19,80
08/05/2020,18,88
09/05/2020,17,79
10/05/2020,21,69
11/05/2020,23,66
12/05/2020,23,67
13/05/2020,12,67
14/05/2020,12,71
15/05/2020,16,58
16/05/2020,14,50
17/05/2020,9,46
18/05/2020,11,50
19/05/2020,7,51
20/05/2020,7,56
21/05/2020,6,46
22/05/2020,9,47
23/05/2020,8,36
24/05/2020,5,37
25/05/2020,6,39
26/05/2020,5,46
27/05/2020,5,35
28/05/2020,5,30
29/05/2020,4,30
30/05/2020,4,28
31/05/2020,4,29
01/06/2020,4,26
02/06/2020,2,25
03/06/2020,3,22
04/06/2020,1,22
05/06/2020,1,21
06/06/2020,1,15
07/06/2020,2,19
08/06/2020,2,20
09/06/2020,1,17
10/06/2020,1,17
11/06/2020,0,16
12/06/2020,0,19
13/06/2020,1,15
14/06/2020,1,13
15/06/2020,2,16
16/06/2020,1,17
17/06/2020,2,13
18/06/2020,2,15
19/06/2020,1,14
20/06/2020,1,14
21/06/2020,2,16
22/06/2020,1,16
23/06/2020,0,13
24/06/2020,0,15
25/06/2020,1,13
26/06/2020,1,8
27/06/2020,1,12
28/06/2020,2,9
29/06/2020,2,14
30/06/2020,2,16
01/07/2020,2,14
02/07/2020,3,19
03/07/2020,3,14
04/07/2020,3,21
05/07/2020,3,17
06/07/2020,3,19
07/07/2020,1,23
08/07/2020,2,24
09/07/2020,3,24
10/07/2020,2,29
11/07/2020,3,33
12/07/2020,4,34
13/07/2020,3,44
14/07/2020,4,34
15/07/2020,5,37
16/07/2020,4,36
17/07/2020,6,36
18/07/2020,6,42
19/07/2020,7,47
20/07/2020,5,50
21/07/2020,5,55
22/07/2020,1,57
23/07/2020,3,49
24/07/2020,4,44
25/07/2020,4,50
26/07/2020,6,55
27/07/2020,5,50
28/07/2020,4,55
29/07/2020,6,57
30/07/2020,7,48
31/07/2020,6,47
01/08/2020,6,51
02/08/2020,7,54
03/08/2020,7,52
04/08/2020,5,42
05/08/2020,9,42
06/08/2020,6,42
07/08/2020,8,41
08/08/2020,8,39
09/08/2020,6,35
10/08/2020,4,41
11/08/2020,3,41
12/08/2020,1,37
13/08/2020,3,35
14/08/2020,4,40
15/08/2020,3,29
16/08/2020,3,34
17/08/2020,4,28
18/08/2020,3,30
19/08/2020,3,31
20/08/2020,3,37
21/08/2020,1,26
22/08/2020,1,31
23/08/2020,1,30
24/08/2020,1,31
25/08/2020,2,31
26/08/2020,2,25
27/08/2020,2,28
28/08/2020,4,21
29/08/2020,3,20
30/08/2020,2,25
31/08/2020,2,26
01/09/2020,1,15
02/09/2020,2,14
03/09/2020,0,11
04/09/2020,0,10
05/09/2020,0,10
06/09/2020,0,15
07/09/2020,0,20
08/09/2020,0,23
09/09/2020,0,21
10/09/2020,1,20
11/09/2020,0,17
12/09/2020,0,18
13/09/2020,1,15
14/09/2020,0,19
15/09/2020,0,22
16/09/2020,0,23
17/09/2020,1,17
18/09/2020,0,16
19/09/2020,2,20
20/09/2020,1,20
21/09/2020,1,19
22/09/2020,1,22
23/09/2020,3,23
24/09/2020,1,18
25/09/2020,1,24
26/09/2020,3,27
27/09/2020,3,33
28/09/2020,4,30
29/09/2020,5,25
