Date,Nombre de personnes testées COVID+ par jour (moyenne mobile sur 7 jours),Nombre de personnes en soins intensifs,Nombre de personnes testées COVID+,Nombre cumulé de décès
24/02/2020,0,0,0,0
25/02/2020,0,0,0,0
26/02/2020,0,0,0,0
27/02/2020,0,0,0,0
28/02/2020,0,0,0,0
29/02/2020,0,0,1,0
01/03/2020,0,0,0,0
02/03/2020,0,0,0,0
03/03/2020,0,0,0,0
04/03/2020,0,0,0,0
05/03/2020,0,0,1,0
06/03/2020,0,0,0,0
07/03/2020,0,0,1,0
08/03/2020,0,0,0,0
09/03/2020,0,0,0,0
10/03/2020,0,0,0,0
11/03/2020,0,0,1,0
12/03/2020,2,0,13,0
13/03/2020,5,0,22,1
14/03/2020,8,0,18,1
15/03/2020,8,0,0,1
16/03/2020,12,0,32,1
17/03/2020,28,0,109,3
18/03/2020,49,0,149,3
19/03/2020,67,0,136,4
20/03/2020,87,3,168,6
21/03/2020,102,6,119,7
22/03/2020,105,5,21,7
23/03/2020,132,7,219,7
24/03/2020,141,9,173,7
25/03/2020,141,21,149,9
26/03/2020,150,26,201,9
27/03/2020,148,26,153,14
28/03/2020,145,29,97,17
29/03/2020,146,27,33,21
30/03/2020,135,30,137,22
31/03/2020,122,32,86,26
01/04/2020,118,33,119,27
02/04/2020,105,40,109,28
03/04/2020,95,45,87,29
04/04/2020,90,43,59,34
05/04/2020,90,43,31,36
06/04/2020,79,41,59,38
07/04/2020,75,41,61,43
08/04/2020,67,43,64,46
09/04/2020,60,39,57,49
10/04/2020,52,38,35,54
11/04/2020,45,40,7,58
12/04/2020,42,40,12,62
13/04/2020,34,42,3,65
14/04/2020,34,43,59,68
15/04/2020,29,44,33,68
16/04/2020,25,41,25,71
17/04/2020,26,39,44,71
18/04/2020,27,40,15,74
19/04/2020,26,39,3,75
20/04/2020,28,39,15,78
21/04/2020,23,38,24,80
22/04/2020,19,35,9,81
23/04/2020,18,30,16,84
24/04/2020,14,30,17,85
25/04/2020,14,28,12,88
26/04/2020,14,25,5,88
27/04/2020,13,25,9,89
28/04/2020,12,25,17,89
29/04/2020,12,27,10,90
30/04/2020,12,27,12,92
01/05/2020,10,28,7,93
02/05/2020,9,27,4,96
03/05/2020,9,26,4,96
04/05/2020,9,25,11,98
05/05/2020,8,23,8,98
06/05/2020,7,24,6,100
07/05/2020,6,19,5,100
08/05/2020,6,18,3,101
09/05/2020,6,17,8,101
10/05/2020,6,21,1,101
11/05/2020,5,23,4,102
12/05/2020,5,23,7,103
13/05/2020,5,12,9,103
14/05/2020,5,12,3,104
15/05/2020,5,16,5,105
16/05/2020,6,14,10,106
17/05/2020,6,9,1,106
18/05/2020,7,11,12,108
19/05/2020,7,7,7,108
20/05/2020,6,7,7,108
21/05/2020,6,6,0,108
22/05/2020,7,9,9,108
23/05/2020,5,8,2,109
24/05/2020,5,5,1,109
25/05/2020,4,6,2,109
26/05/2020,4,5,5,110
27/05/2020,3,5,1,110
28/05/2020,3,5,3,110
29/05/2020,2,4,3,110
30/05/2020,2,4,2,110
31/05/2020,2,4,0,110
01/06/2020,2,4,1,110
02/06/2020,2,2,2,110
03/06/2020,2,3,2,110
04/06/2020,2,1,4,110
05/06/2020,2,1,1,110
06/06/2020,2,1,2,110
07/06/2020,2,2,1,110
08/06/2020,2,2,4,110
09/06/2020,2,1,3,110
10/06/2020,3,1,4,110
11/06/2020,2,0,1,110
12/06/2020,2,0,2,110
13/06/2020,3,1,8,110
14/06/2020,3,1,2,110
15/06/2020,4,2,5,110
16/06/2020,4,1,7,110
17/06/2020,4,2,1,110
18/06/2020,4,2,6,110
19/06/2020,5,1,9,110
20/06/2020,6,1,13,110
21/06/2020,6,2,0,110
22/06/2020,7,1,12,110
23/06/2020,6,0,2,110
24/06/2020,8,0,13,110
25/06/2020,10,1,19,110
26/06/2020,14,1,41,110
27/06/2020,17,1,30,110
28/06/2020,18,2,10,110
29/06/2020,23,2,44,110
30/06/2020,26,2,24,110
01/07/2020,31,2,51,110
02/07/2020,35,3,43,110
03/07/2020,33,3,28,110
04/07/2020,36,3,49,110
05/07/2020,36,3,12,110
06/07/2020,36,3,48,110
07/07/2020,40,1,52,110
08/07/2020,40,2,51,110
09/07/2020,39,3,35,110
10/07/2020,43,2,56,111
11/07/2020,47,3,77,111
12/07/2020,49,4,27,111
13/07/2020,56,3,93,111
14/07/2020,56,4,52,111
15/07/2020,68,5,134,111
16/07/2020,78,4,106,111
17/07/2020,80,6,73,111
18/07/2020,83,6,97,111
19/07/2020,83,7,27,111
20/07/2020,80,5,71,111
21/07/2020,89,5,113,111
22/07/2020,81,1,77,112
23/07/2020,78,3,85,112
24/07/2020,84,4,121,112
25/07/2020,81,4,75,112
26/07/2020,83,6,40,112
27/07/2020,78,5,33,113
28/07/2020,81,4,138,114
29/07/2020,80,6,67,114
30/07/2020,77,7,68,114
31/07/2020,71,6,78,116
01/08/2020,67,6,48,117
02/08/2020,63,7,7,118
03/08/2020,65,7,49,118
04/08/2020,57,5,79,118
05/08/2020,55,9,54,119
06/08/2020,50,6,33,119
07/08/2020,45,8,46,120
08/08/2020,42,8,29,121
09/08/2020,42,6,7,122
10/08/2020,39,4,25,123
11/08/2020,34,3,44,123
12/08/2020,34,1,55,123
13/08/2020,34,3,33,123
14/08/2020,31,4,26,124
15/08/2020,29,3,15,124
16/08/2020,29,3,6,124
17/08/2020,29,4,23,124
18/08/2020,31,3,58,124
19/08/2020,31,3,53,124
20/08/2020,34,3,59,124
21/08/2020,38,1,50,124
22/08/2020,38,1,19,124
23/08/2020,39,1,9,124
24/08/2020,39,1,28,124
25/08/2020,42,2,75,124
26/08/2020,42,2,51,124
27/08/2020,38,2,37,124
28/08/2020,38,4,45,124
29/08/2020,42,3,48,124
30/08/2020,41,2,4,124
31/08/2020,41,2,24,124
01/09/2020,37,1,48,124
02/09/2020,38,2,60,124
03/09/2020,39,0,43,124
04/09/2020,38,0,42,124
05/09/2020,39,0,54,124
06/09/2020,40,0,10,124
07/09/2020,39,0,14,124
08/09/2020,39,0,48,124
09/09/2020,39,0,65,124
10/09/2020,43,1,70,124
11/09/2020,42,0,35,124
12/09/2020,41,0,44,124
13/09/2020,40,1,6,124
14/09/2020,44,0,40,124
15/09/2020,53,0,110,124
16/09/2020,64,0,146,124
17/09/2020,80,1,177,124
18/09/2020,87,0,85,124
19/09/2020,95,2,103,124
20/09/2020,96,1,10,124
21/09/2020,104,1,100,124
22/09/2020,99,1,74,124
23/09/2020,88,3,67,124
24/09/2020,74,1,76,124
25/09/2020,73,1,83,124
26/09/2020,65,3,46,124
27/09/2020,66,3,14,124
28/09/2020,59,4,55,124
29/09/2020,60,5,78,124
