Date,Rt_eff,Rt_eff-low_50,Rt_eff-high_50,Rt_eff=1
16/03/2020,2.370,1.630,2.820,1
17/03/2020,2.380,1.900,2.860,1
18/03/2020,3.140,2.830,3.550,1
19/03/2020,3.290,3.000,3.550,1
20/03/2020,2.770,2.550,2.990,1
21/03/2020,2.490,2.290,2.670,1
22/03/2020,2.180,1.990,2.340,1
23/03/2020,1.850,1.590,1.880,1
24/03/2020,1.770,1.610,1.900,1
25/03/2020,1.640,1.450,1.730,1
26/03/2020,1.410,1.220,1.490,1
27/03/2020,1.330,1.160,1.430,1
28/03/2020,1.200,1.010,1.280,1
29/03/2020,1.100,0.920,1.190,1
30/03/2020,1.060,0.900,1.170,1
31/03/2020,0.930,0.790,1.060,1
01/04/2020,0.780,0.640,0.920,1
02/04/2020,0.820,0.640,0.930,1
03/04/2020,0.780,0.570,0.860,1
04/04/2020,0.700,0.510,0.810,1
05/04/2020,0.730,0.520,0.830,1
06/04/2020,0.800,0.630,0.940,1
07/04/2020,0.740,0.510,0.830,1
08/04/2020,0.730,0.510,0.840,1
09/04/2020,0.700,0.490,0.820,1
10/04/2020,0.660,0.450,0.790,1
11/04/2020,0.600,0.400,0.750,1
12/04/2020,0.570,0.360,0.720,1
13/04/2020,0.590,0.340,0.720,1
14/04/2020,0.500,0.260,0.640,1
15/04/2020,0.530,0.330,0.730,1
16/04/2020,0.570,0.260,0.670,1
17/04/2020,0.500,0.250,0.660,1
18/04/2020,0.530,0.350,0.780,1
19/04/2020,0.730,0.440,0.880,1
20/04/2020,0.730,0.430,0.880,1
21/04/2020,0.800,0.540,0.990,1
22/04/2020,0.740,0.440,0.890,1
23/04/2020,0.660,0.400,0.850,1
24/04/2020,0.650,0.340,0.810,1
25/04/2020,0.570,0.240,0.710,1
26/04/2020,0.610,0.320,0.800,1
27/04/2020,0.650,0.320,0.820,1
28/04/2020,0.650,0.370,0.870,1
29/04/2020,0.640,0.330,0.840,1
30/04/2020,0.650,0.380,0.900,1
01/05/2020,0.730,0.400,0.930,1
02/05/2020,0.660,0.320,0.850,1
03/05/2020,0.630,0.260,0.800,1
04/05/2020,0.650,0.300,0.850,1
05/05/2020,0.680,0.330,0.890,1
06/05/2020,0.660,0.310,0.870,1
07/05/2020,0.620,0.280,0.840,1
08/05/2020,0.570,0.230,0.790,1
09/05/2020,0.610,0.290,0.860,1
10/05/2020,0.650,0.240,0.830,1
11/05/2020,0.650,0.260,0.860,1
12/05/2020,0.600,0.230,0.820,1
13/05/2020,0.610,0.260,0.860,1
14/05/2020,0.650,0.280,0.890,1
15/05/2020,0.650,0.290,0.910,1
16/05/2020,0.680,0.290,0.920,1
17/05/2020,0.730,0.400,1.050,1
18/05/2020,0.790,0.350,1.010,1
19/05/2020,0.870,0.440,1.110,1
20/05/2020,0.880,0.490,1.150,1
21/05/2020,0.830,0.440,1.090,1
22/05/2020,0.820,0.480,1.130,1
23/05/2020,0.910,0.520,1.180,1
24/05/2020,0.780,0.360,1.010,1
25/05/2020,0.800,0.410,1.060,1
26/05/2020,0.740,0.300,0.950,1
27/05/2020,0.730,0.290,0.950,1
28/05/2020,0.660,0.210,0.860,1
29/05/2020,0.650,0.210,0.870,1
30/05/2020,0.570,0.150,0.790,1
31/05/2020,0.530,0.150,0.800,1
01/06/2020,0.530,0.140,0.800,1
02/06/2020,0.530,0.130,0.800,1
03/06/2020,0.530,0.200,0.870,1
04/06/2020,0.530,0.180,0.860,1
05/06/2020,0.530,0.160,0.850,1
06/06/2020,0.590,0.150,0.850,1
07/06/2020,0.590,0.210,0.910,1
08/06/2020,0.610,0.170,0.880,1
09/06/2020,0.610,0.150,0.870,1
10/06/2020,0.610,0.200,0.920,1
11/06/2020,0.730,0.260,1.030,1
12/06/2020,0.570,0.180,0.910,1
13/06/2020,0.650,0.240,0.970,1
14/06/2020,0.800,0.280,1.060,1
15/06/2020,0.800,0.270,1.050,1
16/06/2020,0.910,0.420,1.220,1
17/06/2020,0.920,0.430,1.220,1
18/06/2020,0.930,0.440,1.220,1
19/06/2020,0.930,0.480,1.250,1
20/06/2020,1.020,0.530,1.310,1
21/06/2020,1.120,0.640,1.410,1
22/06/2020,1.100,0.640,1.390,1
23/06/2020,1.150,0.690,1.430,1
24/06/2020,1.060,0.610,1.330,1
25/06/2020,1.190,0.750,1.460,1
26/06/2020,1.300,0.900,1.580,1
27/06/2020,1.570,1.060,1.710,1
